	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	x	p_t	p1	p2	p3	p4	p7	p9	e_t	e1	e2	e3	e4	e7	e9
															
TbL12x		-0.0034	0.0005	-0.0001	0.0004	-0.0034	-0.0253	-0.0009	-0.0357***	0.0005	0.0000	-0.0050	-0.0015	-0.0969**	-0.0054
		(0.006)	(0.009)	(0.007)	(0.008)	(0.015)	(0.021)	(0.006)	(0.011)	(0.009)	(0.008)	(0.009)	(0.017)	(0.049)	(0.007)
TbL8x		-0.0002	-0.0019	0.0022	0.0022	-0.0028	-0.0111	0.0009	-0.0119**	-0.0019	0.0025	0.0004	0.0009	-0.0474	0.0006
		(0.003)	(0.004)	(0.004)	(0.004)	(0.008)	(0.012)	(0.003)	(0.006)	(0.004)	(0.004)	(0.004)	(0.009)	(0.029)	(0.004)
Tbx		-0.0068***	-0.0102**	-0.0058*	-0.0097***	-0.0078	-0.0081	-0.0077***	0.0087*	-0.0102**	-0.0060*	-0.0061	-0.0068	0.0348*	-0.0046
		(0.002)	(0.004)	(0.003)	(0.004)	(0.009)	(0.010)	(0.003)	(0.005)	(0.004)	(0.004)	(0.004)	(0.009)	(0.020)	(0.003)
Tb4x		-0.0135***	-0.0163**	-0.0151***	-0.0145**	-0.0130	-0.0077	-0.0149***	0.0135	-0.0163**	-0.0157**	-0.0112	-0.0100	0.0636*	-0.0113**
		(0.004)	(0.007)	(0.006)	(0.006)	(0.016)	(0.017)	(0.004)	(0.008)	(0.007)	(0.006)	(0.007)	(0.015)	(0.034)	(0.005)
Tb8x		-0.0215***	-0.0239**	-0.0253***	-0.0189**	-0.0124	-0.0181	-0.0238***	0.0129	-0.0239**	-0.0257***	-0.0150	-0.0106	0.0659	-0.0182**
		(0.006)	(0.009)	(0.008)	(0.009)	(0.022)	(0.026)	(0.006)	(0.012)	(0.009)	(0.009)	(0.010)	(0.023)	(0.042)	(0.008)
Tb12x		-0.0295***	-0.0288**	-0.0326***	-0.0301***	-0.0146	-0.0299	-0.0319***	0.0022	-0.0288**	-0.0343***	-0.0245**	-0.0140	0.0516	-0.0280***
		(0.008)	(0.012)	(0.010)	(0.011)	(0.029)	(0.033)	(0.008)	(0.015)	(0.012)	(0.011)	(0.012)	(0.030)	(0.046)	(0.010)
Tb16		-0.0437***	-0.0380**	-0.0492***	-0.0414***	-0.0332	-0.0463	-0.0460***	-0.0128	-0.0380**	-0.0508***	-0.0329**	-0.0386	0.0322	-0.0405***
		(0.010)	(0.015)	(0.013)	(0.014)	(0.037)	(0.040)	(0.010)	(0.019)	(0.015)	(0.014)	(0.016)	(0.039)	(0.053)	(0.013)
															
Observations	65,424	65,424	63,586	63,778	62,386	42,839	24,402	65,360	65,424	63,586	63,778	62,386	42,839	24,402	65,360
R-squared	1.000	0.299	0.186	0.165	0.246	0.313	0.318	0.291	0.230	0.186	0.148	0.203	0.270	0.267	0.216
Number of cvemun		1,392	1,392	1,391	1,391	1,205	764	1,392	1,392	1,392	1,391	1,391	1,205	764	1,392
Standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
