	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	x	p9	p9	p9	p9	p9	p9	e9	e9	e9	e9	e9	e9
													
TbL12x		-0.0198	0.0021	-0.0221	0.0199	-0.0020	0.0058	-0.0256	0.0017	-0.0407	0.0112	-0.0008	0.0057
		(0.017)	(0.007)	(0.032)	(0.023)	(0.018)	(0.006)	(0.022)	(0.008)	(0.057)	(0.026)	(0.026)	(0.007)
TbL8x		-0.0041	0.0018	-0.0048	0.0081	0.0039	0.0029	-0.0005	0.0022	0.0006	0.0072	0.0077	0.0035
		(0.008)	(0.003)	(0.018)	(0.012)	(0.009)	(0.003)	(0.011)	(0.004)	(0.030)	(0.015)	(0.013)	(0.003)
Tbx		-0.0106	-0.0064***	-0.0098	-0.0142	-0.0055	-0.0090***	0.0021	-0.0062**	-0.0249	-0.0022	-0.0018	-0.0068**
		(0.009)	(0.002)	(0.016)	(0.012)	(0.008)	(0.003)	(0.011)	(0.003)	(0.028)	(0.016)	(0.011)	(0.003)
Tb4x		-0.0246*	-0.0119***	-0.0426	-0.0425**	-0.0148	-0.0148***	-0.0182	-0.0112**	-0.0612	-0.0155	-0.0167	-0.0127**
		(0.015)	(0.004)	(0.026)	(0.021)	(0.014)	(0.005)	(0.019)	(0.005)	(0.049)	(0.024)	(0.019)	(0.006)
Tb8x		-0.0443**	-0.0181***	-0.0627*	-0.0697**	-0.0305	-0.0211***	-0.0430	-0.0155**	-0.0961	-0.0371	-0.0394	-0.0162**
		(0.021)	(0.006)	(0.036)	(0.029)	(0.019)	(0.007)	(0.027)	(0.007)	(0.065)	(0.033)	(0.025)	(0.008)
Tb12x		-0.0545**	-0.0251***	-0.0805*	-0.0865**	-0.0409*	-0.0259***	-0.0564*	-0.0245***	-0.1302*	-0.0491	-0.0596*	-0.0208**
		(0.025)	(0.008)	(0.046)	(0.036)	(0.024)	(0.009)	(0.034)	(0.009)	(0.078)	(0.044)	(0.033)	(0.010)
Tb16		-0.0812***	-0.0356***	-0.0708	-0.0889**	-0.0625**	-0.0344***	-0.0728*	-0.0359***	-0.1203	-0.0378	-0.0910**	-0.0250**
		(0.031)	(0.010)	(0.062)	(0.045)	(0.031)	(0.011)	(0.042)	(0.012)	(0.096)	(0.061)	(0.043)	(0.013)
													
Observations	65,424	26,758	38,602	16,311	16,339	16,354	16,356	26,758	38,602	16,311	16,339	16,354	16,356
R-squared	1.000	0.232	0.383	0.223	0.245	0.320	0.580	0.168	0.302	0.142	0.166	0.225	0.552
Number of cvemun		570	822	348	348	348	348	570	822	348	348	348	348
Standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
