	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	x	p9	p9	p9	p9	p9	p9	p9	p9	e9	e9	e9	e9	e9	e9	e9	e9
																	
TbL12x		-0.0099	0.0053	-0.0158	0.0014	0.0080		0.0009	0.0023	-0.0149*	-0.0076	-0.0213	-0.0073	0.0079		-0.0025	-0.0004
		(0.008)	(0.006)	(0.011)	(0.007)	(0.007)		(0.006)	(0.006)	(0.009)	(0.009)	(0.015)	(0.009)	(0.007)		(0.006)	(0.007)
TbL8x		-0.0020	0.0046	-0.0031	0.0010	0.0029		0.0010	0.0017	-0.0024	0.0011	-0.0018	-0.0014	0.0039		0.0008	0.0018
		(0.003)	(0.003)	(0.005)	(0.003)	(0.003)		(0.003)	(0.003)	(0.004)	(0.005)	(0.008)	(0.004)	(0.003)		(0.003)	(0.003)
Tbx		-0.0049*	-0.0106***	-0.0059	-0.0072**	-0.0094***		-0.0056**	-0.0061**	-0.0018	-0.0092**	-0.0068	-0.0037	-0.0078**		-0.0024	-0.0031
		(0.003)	(0.004)	(0.005)	(0.003)	(0.003)		(0.003)	(0.003)	(0.003)	(0.005)	(0.008)	(0.004)	(0.003)		(0.003)	(0.003)
Tb4x		-0.0097*	-0.0247***	-0.0228**	-0.0143***	-0.0154***		-0.0091*	-0.0101**	-0.0061	-0.0215**	-0.0228*	-0.0094	-0.0137**		-0.0054	-0.0067
		(0.005)	(0.007)	(0.009)	(0.005)	(0.005)		(0.005)	(0.005)	(0.006)	(0.008)	(0.013)	(0.006)	(0.006)		(0.005)	(0.005)
Tb8x		-0.0168**	-0.0396***	-0.0372***	-0.0256***	-0.0207***		-0.0143**	-0.0153**	-0.0114	-0.0373***	-0.0386**	-0.0207**	-0.0204**		-0.0093	-0.0107
		(0.007)	(0.010)	(0.013)	(0.007)	(0.007)		(0.007)	(0.007)	(0.008)	(0.013)	(0.018)	(0.009)	(0.009)		(0.007)	(0.007)
Tb12x		-0.0237***	-0.0506***	-0.0474***	-0.0373***	-0.0255***		-0.0192**	-0.0199**	-0.0202**	-0.0489***	-0.0534**	-0.0345***	-0.0256**		-0.0128	-0.0139
		(0.009)	(0.014)	(0.016)	(0.009)	(0.009)		(0.008)	(0.008)	(0.010)	(0.017)	(0.023)	(0.011)	(0.010)		(0.009)	(0.009)
Tb16		-0.0377***	-0.0673***	-0.0582***	-0.0537***	-0.0326***		-0.0287***	-0.0292***	-0.0330**	-0.0623***	-0.0575*	-0.0476***	-0.0326**		-0.0222*	-0.0229*
		(0.011)	(0.019)	(0.021)	(0.012)	(0.011)		(0.011)	(0.011)	(0.014)	(0.023)	(0.030)	(0.015)	(0.014)		(0.012)	(0.012)
TL12x							-0.0075								-0.0108		
							(0.006)								(0.008)		
TL8x							-0.0020								-0.0018		
							(0.003)								(0.004)		
Tx							-0.0067***								-0.0045		
							(0.003)								(0.003)		
T4x							-0.0131***								-0.0104*		
							(0.005)								(0.006)		
T8x							-0.0204***								-0.0159**		
							(0.007)								(0.008)		
T12x							-0.0292***								-0.0268***		
							(0.008)								(0.010)		
T16							-0.0448***								-0.0421***		
							(0.010)								(0.012)		
																	
Observations	65,424	65,360	49,380	65,360	65,360	17,108	65,360	24,380	24,380	65,360	49,380	65,360	65,360	17,108	65,360	24,380	24,380
R-squared	1.000	0.236	0.291	0.173	0.299	0.543	0.292	0.528	0.530	0.186	0.215	0.125	0.224	0.480	0.216	0.452	0.455
Number of cvemun		1,392	1,052	1,392	1,392	364	1,392	764	764	1,392	1,052	1,392	1,392	364	1,392	764	764
Standard errors in parentheses																	
*** p<0.01, ** p<0.05, * p<0.1																	
