	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	x	p_t	p_c	p1	p_c	p2	p_c	p3	p_c	p4	p_c	p7	p_c	p9	p_c	e_t	p_c	e1	p_c	e2	p_c	e3	p_c	e4	p_c	e7	p_c	e9	p_c
																													
mydate		0.0023***	0.0033***	0.0026***	0.0036***	0.0006	0.0019***	0.0041***	0.0052***	0.0079***	0.0086***	0.0067***	0.0074***	0.0021***	0.0033***	0.0055***	0.0049***	0.0026***	0.0036***	0.0009*	0.0023***	0.0047***	0.0055***	0.0081***	0.0091***	0.0059***	0.0026*	0.0036***	0.0046***
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)
																													
Observations	65,424	65,424	65,424	63,586	63,586	63,778	63,778	62,386	62,386	42,839	42,839	24,402	24,402	65,360	65,360	65,424	65,424	63,586	63,586	63,778	63,778	62,386	62,386	42,839	42,839	24,402	24,402	65,360	65,360
R-squared	1.000	0.081	0.998	0.049	0.996	0.004	0.997	0.122	0.997	0.226	0.993	0.182	0.992	0.065	0.998	0.139	0.996	0.049	0.996	0.007	0.997	0.117	0.996	0.189	0.991	0.108	0.990	0.104	0.997
Number of cvemun		1,392		1,392		1,391		1,391		1,205		764		1,392		1,392		1,392		1,391		1,391		1,205		764		1,392	
Standard errors in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
